timestamp,ldr_value
0,2662
100,2662
200,2662
300,2662
400,2662
500,2662
600,2662
700,2662
800,2662
900,2662
1000,2662
1100,2662
1200,2662
1300,2662
1400,2662
1500,2662
1600,2662
1700,2662
1800,2662
1900,2662
2000,2662
2100,2662
2200,2662
2300,2662
2400,2662
2500,2662
2600,2662
2700,2662
2800,2662
2900,2662
3000,2662
3100,2662
3200,2662
3300,2662
3400,2662
3500,2662
3600,2662
3700,2662
3800,2662
3900,2662
4000,2662
4100,2662
4200,2662
4300,2662
4400,2662
4500,2662
4600,2662
4700,2662
4800,2662
4900,2662
5000,2662
5100,2662
5200,2662
5300,2662
5400,2662
5500,2662
5600,2662
5700,2662
5800,2662
5900,2662
6000,2662
6100,2662
6200,2662
6300,2662
6400,2662
6500,2662
6600,2662
6700,2662
6800,2662
6900,2662
7000,2662
7100,2662
7200,2662
7300,2662
7400,2662
7500,2662
7600,2662
7700,2662
7800,2662
7900,2662
8000,2662
8100,2662
8200,2662
8300,2662
8400,2662
8500,2662
8600,2662
8700,2662
8800,2662
8900,2662
9000,2662
9100,2662
9200,2662
9300,2662
9400,2662
9500,2662
9600,2662
9700,2662
9800,2662
9900,2662
10000,2662
10100,2662
10200,2662
10300,2662
10400,2662
10500,2662
10600,2662
10700,2662
10800,2662
10900,2662
11000,2662
11100,2662
11200,2662
11300,2662
11400,2662
11500,2662
11600,2662
11700,2662
11800,2662
11900,2662
12000,2662
12100,2662
12200,2662
12300,2662
12400,2662
12500,2662
12600,2662
12700,2662
12800,2662
12900,2662
13000,2662
13100,2662
13200,2662
13300,2662
13400,2662
13500,2662
13600,2662
13700,2662
13800,2662
13900,2662
14000,2662
14100,2662
14200,2662
14300,2662
14400,2662
14500,2662
14600,2662
14700,2662
14800,2662
14900,2662
15000,2662
15100,2662
15200,2662
15300,2662
15400,2662
15500,2662
15600,2662
15700,2662
15800,2662
15900,2662
16000,2662
16100,2662
16200,2662
16300,2662
16400,2662
16500,2662
16600,2662
16700,2662
16800,2662
16900,2662
17000,2662
17100,2662
17200,2662
17300,2662
17400,2662
17500,2662
17600,2662
17700,2662
17800,2662
17900,2662
18000,2662
18100,2662
18200,2662
18300,2662
18400,2662
18500,2662
18600,2662
18700,2662
18800,2662
18900,2662
19000,2662
19100,2662
19200,2662
19300,2662
19400,2662
19500,2662
19600,2662
19700,2662
19800,2662
19900,2662
20000,2662
20100,2662
20200,2662
20300,2662
20400,2662
20500,2662
20600,2662
20700,2662
20800,2662
20900,2662
21000,2662
21100,2662
21200,2662
21300,2662
21400,2662
21500,2662
21600,2662
21700,2662
21800,2662
21900,2662
22000,2662
22100,2662
22200,2662
22300,2662
22400,2662
22500,2662
22600,2662
22700,2662
22800,2662
22900,2662
23000,2662
23100,2662
23200,2662
23300,2662
23400,2662
23500,2662
23600,2662
23700,2662
23800,2662
23900,2662
24000,2662
24100,2662
24200,2662
24300,2662
24400,2662
24500,2662
24600,2662
24700,2662
24800,2662
24900,2662
25000,2662
25100,2662
25200,2662
25300,2662
25400,2662
25500,2662
25600,2662
25700,2662
25800,2662
25900,2662
26000,2662
26100,2662
26200,2662
26300,2662
26400,2662
26500,2662
26600,2662
26700,2662
26800,2662
26900,2662
27000,2662
27100,2662
27200,2662
27300,2662
27400,2662
27500,2662
27600,2662
27700,2662
27800,2662
27900,2662
28000,2662
28100,2662
28200,2662
28300,2662
28400,2662
28500,2662
28600,2662
28700,2662
28800,2662
28900,2662
29000,2662
29100,2662
29200,2662
29300,2662
29400,2662
29500,2662
29600,2662
29700,2662
29800,2662
29900,2662
30000,2662
30100,2662
30200,2662
30300,2662
30400,2662
30500,2662
30600,2662
30700,2662
30800,2662
30900,2662
31000,2662
31100,2662
31200,2662
31300,2662
31400,2662
31500,2662
31600,2662
31700,2662
31800,2662
31900,2662
32000,2662
32100,2662
32200,2662
32300,2662
32400,2662
32500,2662
32600,2662
32700,2662
32800,2662
32900,2662
33000,2662
33100,2662
33200,2662
33300,2662
33400,2662
33500,2662
33600,2662
33700,2662
33800,2662
33900,2662
34000,2662
34100,2662
34200,2662
34300,2662
34400,2662
34500,2662
34600,2662
34700,2662
34800,2662
34900,2662
35000,2662
35100,2662
35200,2662
35300,2662
35400,2662
35500,2662
35600,2662
35700,2662
35800,2662
35900,2662
36000,2662
36100,2662
36200,2662
36300,2662
36400,2662
36500,2662
36600,2662
36700,2662
36800,2662
36900,2662
37000,2662
37100,2662
37200,2662
37300,2662
37400,2662
37500,2662
37600,2662
37700,2662
37800,2662
37900,2662
38000,2662
38100,2662
38200,2662
38300,2662
38400,2662
38500,2662
38600,2662
38700,2662
38800,2662
38900,2662
39000,2662
39100,2662
39200,2662
39300,2662
39400,2662
39500,2662
39600,2662
39700,2662
39800,2662
39900,2662
40000,2662
40100,2662
40200,2662
40300,2662
40400,2662
40500,2662
40600,2662
40700,2662
40800,2662
40900,2662
41000,2662
41100,2662
41200,2662
41300,2662
41400,2662
41500,2662
41600,2662
41700,2662
41800,2662
41900,2662
42000,2662
42100,2662
42200,2662
42300,2662
42400,2662
42500,2662
42600,2662
42700,2662
42800,2662
42900,2662
43000,2662
43100,2662
43200,2662
43300,2662
43400,2662
43500,2662
43600,2662
43700,2662
43800,2662
43900,2662
44000,2662
44100,2662
44200,2662
44300,2662
44400,2662
44500,2662
44600,2662
44700,2662
44800,2662
44900,2662
45000,2662
45100,2662
45200,2662
45300,2662
45400,2662
45500,2662
45600,2662
45700,2662
45800,2662
45900,2662
46000,2662
46100,2662
46200,2662
46300,2662
46400,2662
46500,2662
46600,2662
46700,2662
46800,2662
46900,2662
47000,2662
47100,2662
47200,2662
47300,2662
47400,2662
47500,2662
47600,2662
47700,2662
47800,2662
47900,2662
48000,2662
48100,2662
48200,2662
48300,2662
48400,2662
48500,2662
48600,2662
48700,2662
48800,2662
48900,2662
49000,2662
49100,2662
49200,2662
49300,2662
49400,2662
49500,2662
49600,2662
49700,2662
49800,2662
49900,2662
50000,2662
50100,2662
50200,2662
50300,2662
50400,2662
50500,2662
50600,2662
50700,2662
50800,2662
50900,2662
51000,2662
51100,2662
51200,2662
51300,2662
51400,2662
51500,2662
51600,2662
51700,2662
51800,2662
51900,2662
52000,2662
52100,2662
52200,2662
52300,2662
52400,2662
52500,2662
52600,2662
52700,2662
52800,2662
52900,2662
53000,2662
53100,2662
53200,2662
53300,2662
53400,2662
53500,2662
53600,2662
53700,2662
53800,2662
53900,2662
54000,2662
54100,2662
54200,2662
54300,2662
54400,2662
54500,2662
54600,2662
54700,2662
54800,2662
